Study Group,Order,Latitude,Longitude,Dates,pch,color,IID
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0937
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0938
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0939
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0942
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0943
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0982
Sintashta_MLBA,1,52.81666667,60.46666667,3870,14,purple,I0984
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0986
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0987
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I0989
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1003
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1006
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1008
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1011
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1012
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1013
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1018
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1019
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1022
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1024
Sintashta_MLBA,1,52.81666667,60.46666667,3833,14,purple,I1027
Sintashta_MLBA,1,52.81666667,60.46666667,3830,14,purple,I1029
Sintashta_MLBA,1,52.81666667,60.46666667,3785,14,purple,I1053
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1055
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1060
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1061
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1062
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1063
Sintashta_MLBA,1,52.81666667,60.46666667,3739,14,purple,I1064
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1065
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1082
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1084
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1086
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1088
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1089
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I1090
Sintashta_MLBA,1,52.81666667,60.46666667,3825,14,purple,I7480
UOO_M,1,61.937725,35.260893,8053,4,#D01C8B,
UOO_M,1,61.937725,35.260893,8125,4,#D01C8B,
UOO_M,1,61.937725,35.260893,8125,4,#D01C8B,
UOO_M,1,61.937725,35.260893,8125,4,#D01C8B,
UOO_M,1,61.937725,35.260893,8125,4,#D01C8B,
UOO_M,1,61.937725,35.260893,8125,4,#D01C8B,
