Study Group,Latitude,Longitude,Age average,pch,color,IID
AG3,56.05,92.87,18036,7,#73D055FF,
Altai_5500BP,53.337,83.93,NA,24,#E69F00,
Altai_5500BP,53.337,83.93,NA,24,#E69F00,
Altai_6500BP,53.337,83.93,NA,22,#E69F00,
Altai_7500BP,53.337,83.93,7500,21,#E69F00,Altai_7500BP
Altai_7500BP,53.337,83.93,NA,21,#E69F00,
Botai_Eneolithic,53.306,67.648,4667,24,#999999,BOT2016
Botai_Eneolithic,53.306,67.648,4603,24,#999999,BOT14
Botai_Eneolithic,53.305983,67.648166,4474,24,#999999,BOT15
BZK002,55.990333,92.851,NA,21,#D55E00,
Omskaya_HG,54.971,73.366,7058,22,#009E73,NEO75
Omskaya_HG,54.971,73.366,6953,22,#009E73,NEO78
Borovjanka17_HG,55.733,74.285,5664,23,#009E73,NEO83
Vengerovo2_HG,55.707,76.783,7549,25,#009E73,NEO922
Vengerovo2_HG,55.707,76.783,5727,25,#009E73,NEO915
Vengerovo2_HG,55.707,76.783,5649,25,#009E73,NEO907
Vengerovo2_HG,55.707,76.783,6780,25,#009E73,NEO911
Vengerovo2_HG,55.707,76.783,5536,25,#009E73,NEO912
Vengerovo2_HG,55.707,76.783,5462,25,#009E73,NEO917
Vengerovo2_HG,55.707,76.783,5458,25,#009E73,NEO918
Vengerovo2_HG,55.707,76.783,5814,25,#009E73,NEO923
Vengerovo2_HG,55.707,76.783,5727,25,#009E73,NEO916
Protoka_HG,56.77,77.03,5824,24,#009E73,NEO309
UOO_M,61.94,35.26,NA,4,#D01C8B,
Itkul_HG,52.713,84.692,6050,25,#D55E00,NEO64
UstIsha_HG,52.18,85.965,7048,24,#D55E00,NEO67
Kairan_MLBA_o,48.74175,76.99573333,1,21,#0072B2,Kairan_MLBA_o
Koken_EN1,50.31882735,79.8783817,NA,23,#F0E442,
Koken_EN2,50.31882735,79.8783817,NA,22,#F0E442,
Koken_MLBA,50.31882735,79.8783817,NA,21,#F0E442,
Koken_MLBA_o2,50.31882735,79.8783817,3400,24,#F0E442,
Koken_MLBA_o1,50.31882735,79.8783817,3400,25,#F0E442,
Krasnoyarsk_MLBA,55.1924,89.3053,NA,21,#56B4E9,
Krasnoyarsk_MLBA_o,55.1924,89.3053,3402,25,#56B4E9,
Maitan_MLBA_Alakul_o,50.09,74.44,NA,22,#CC79A7,
Priobrazhenka_LBA,55.51,77.05,1,22,#0072B2,Priobrazhenka_LBA
Sosnoviy_HG,57.358,65.365,NA,25,#999999,
Tarim_EMBA1,40.6782,88.9342,3650,8,#73D055FF,Tarim_EMBA1
UKY,50.534142,106.274289,13929,10,red,
Mergen6_HG,56.019,69.31,8356,22,#999999,NEO72
Mergen6_HG,56.019,69.31,7681,22,#999999,NEO73
Zevakinskiy_LBA,50.2249,81.83678333,1,24,#0072B2,Zevakinskiy_LBA
Zevakinskiy_LBA_o1,50.2249,81.83678333,1,23,#0072B2,
Zevakinskiy_LBA_o2,50.2249,81.83678333,1,25,#0072B2,
AfontovaGora_HG,56.016,92.866,5781,22,#D55E00,NEO102
irk030,54.373847,105.209969,6000,9,red,
DolgoeOzero_HG,56.2,95.7,6036,23,#E69F00,
Geoksyur_EN,37.1907,61.0343,NA,13,blue1,
Sintashta_MLBA_o,52.81666667,60.46666667,NA,25,#CC79A7,
Sintashta_MLBA,52.81666667,60.46666667,NA,14,purple,
Dzhylinda-1,55.6689,115.8721,8419,11,red,
Kolyma1,68.6,159.1,9775,12,red,
