iid1	iid2	length	count	color
double-cousin1_g3-b1-i1	double-cousin1_g3-b2-i1	1305.691943	34	Double Cousin
double-cousin10_g3-b1-i1	double-cousin10_g3-b2-i1	1216.122574	32	Double Cousin
double-cousin100_g3-b1-i1	double-cousin100_g3-b2-i1	1119.850528	30	Double Cousin
double-cousin11_g3-b1-i1	double-cousin11_g3-b2-i1	1197.189059	30	Double Cousin
double-cousin12_g3-b1-i1	double-cousin12_g3-b2-i1	1093.387591	27	Double Cousin
double-cousin13_g3-b1-i1	double-cousin13_g3-b2-i1	1238.256238	36	Double Cousin
double-cousin14_g3-b1-i1	double-cousin14_g3-b2-i1	1356.778791	37	Double Cousin
double-cousin15_g3-b1-i1	double-cousin15_g3-b2-i1	1541.369277	37	Double Cousin
double-cousin16_g3-b1-i1	double-cousin16_g3-b2-i1	1369.01315	34	Double Cousin
double-cousin17_g3-b1-i1	double-cousin17_g3-b2-i1	1319.237181	31	Double Cousin
double-cousin18_g3-b1-i1	double-cousin18_g3-b2-i1	1324.104541	35	Double Cousin
double-cousin19_g3-b1-i1	double-cousin19_g3-b2-i1	1002.509004	27	Double Cousin
double-cousin2_g3-b1-i1	double-cousin2_g3-b2-i1	1019.509715	31	Double Cousin
double-cousin20_g3-b1-i1	double-cousin20_g3-b2-i1	1116.569202	35	Double Cousin
double-cousin21_g3-b1-i1	double-cousin21_g3-b2-i1	1232.414824	33	Double Cousin
double-cousin22_g3-b1-i1	double-cousin22_g3-b2-i1	1354.854288	32	Double Cousin
double-cousin23_g3-b1-i1	double-cousin23_g3-b2-i1	1154.818713	31	Double Cousin
double-cousin24_g3-b1-i1	double-cousin24_g3-b2-i1	1010.184432	31	Double Cousin
double-cousin25_g3-b1-i1	double-cousin25_g3-b2-i1	1061.850209	30	Double Cousin
double-cousin26_g3-b1-i1	double-cousin26_g3-b2-i1	1394.41691	29	Double Cousin
double-cousin27_g3-b1-i1	double-cousin27_g3-b2-i1	1143.522133	33	Double Cousin
double-cousin28_g3-b1-i1	double-cousin28_g3-b2-i1	974.514785	33	Double Cousin
double-cousin29_g3-b1-i1	double-cousin29_g3-b2-i1	1262.106045	35	Double Cousin
double-cousin3_g3-b1-i1	double-cousin3_g3-b2-i1	1345.715043	30	Double Cousin
double-cousin30_g3-b1-i1	double-cousin30_g3-b2-i1	1325.501228	40	Double Cousin
double-cousin31_g3-b1-i1	double-cousin31_g3-b2-i1	1189.061727	29	Double Cousin
double-cousin32_g3-b1-i1	double-cousin32_g3-b2-i1	1164.284709	32	Double Cousin
double-cousin33_g3-b1-i1	double-cousin33_g3-b2-i1	1400.492735	38	Double Cousin
double-cousin34_g3-b1-i1	double-cousin34_g3-b2-i1	1076.461654	30	Double Cousin
double-cousin35_g3-b1-i1	double-cousin35_g3-b2-i1	1201.723073	34	Double Cousin
double-cousin36_g3-b1-i1	double-cousin36_g3-b2-i1	1307.343243	32	Double Cousin
double-cousin37_g3-b1-i1	double-cousin37_g3-b2-i1	1042.717987	28	Double Cousin
double-cousin38_g3-b1-i1	double-cousin38_g3-b2-i1	1367.259965	37	Double Cousin
double-cousin39_g3-b1-i1	double-cousin39_g3-b2-i1	1226.141442	33	Double Cousin
double-cousin4_g3-b1-i1	double-cousin4_g3-b2-i1	1233.794397	34	Double Cousin
double-cousin40_g3-b1-i1	double-cousin40_g3-b2-i1	1127.170522	34	Double Cousin
double-cousin41_g3-b1-i1	double-cousin41_g3-b2-i1	1293.965421	39	Double Cousin
double-cousin42_g3-b1-i1	double-cousin42_g3-b2-i1	1165.895617	32	Double Cousin
double-cousin43_g3-b1-i1	double-cousin43_g3-b2-i1	1222.236024	34	Double Cousin
double-cousin44_g3-b1-i1	double-cousin44_g3-b2-i1	1165.056988	28	Double Cousin
double-cousin45_g3-b1-i1	double-cousin45_g3-b2-i1	1162.492902	32	Double Cousin
double-cousin46_g3-b1-i1	double-cousin46_g3-b2-i1	890.505531	29	Double Cousin
double-cousin47_g3-b1-i1	double-cousin47_g3-b2-i1	949.309216	31	Double Cousin
double-cousin48_g3-b1-i1	double-cousin48_g3-b2-i1	1320.417083	34	Double Cousin
double-cousin49_g3-b1-i1	double-cousin49_g3-b2-i1	1539.038887	37	Double Cousin
double-cousin5_g3-b1-i1	double-cousin5_g3-b2-i1	1124.197095	31	Double Cousin
double-cousin50_g3-b1-i1	double-cousin50_g3-b2-i1	1011.07816	28	Double Cousin
double-cousin51_g3-b1-i1	double-cousin51_g3-b2-i1	1474.241793	32	Double Cousin
double-cousin52_g3-b1-i1	double-cousin52_g3-b2-i1	1413.597529	30	Double Cousin
double-cousin53_g3-b1-i1	double-cousin53_g3-b2-i1	1138.772462	28	Double Cousin
double-cousin54_g3-b1-i1	double-cousin54_g3-b2-i1	1152.0695	28	Double Cousin
double-cousin55_g3-b1-i1	double-cousin55_g3-b2-i1	1363.853934	32	Double Cousin
double-cousin56_g3-b1-i1	double-cousin56_g3-b2-i1	940.912252	31	Double Cousin
double-cousin57_g3-b1-i1	double-cousin57_g3-b2-i1	1165.755788	30	Double Cousin
double-cousin58_g3-b1-i1	double-cousin58_g3-b2-i1	1281.265145	36	Double Cousin
double-cousin59_g3-b1-i1	double-cousin59_g3-b2-i1	1272.408869	34	Double Cousin
double-cousin6_g3-b1-i1	double-cousin6_g3-b2-i1	1323.19964	34	Double Cousin
double-cousin60_g3-b1-i1	double-cousin60_g3-b2-i1	1204.092332	37	Double Cousin
double-cousin61_g3-b1-i1	double-cousin61_g3-b2-i1	1196.960526	24	Double Cousin
double-cousin62_g3-b1-i1	double-cousin62_g3-b2-i1	1330.314465	35	Double Cousin
double-cousin63_g3-b1-i1	double-cousin63_g3-b2-i1	1232.864767	32	Double Cousin
double-cousin64_g3-b1-i1	double-cousin64_g3-b2-i1	1181.30466	34	Double Cousin
double-cousin65_g3-b1-i1	double-cousin65_g3-b2-i1	1525.942611	34	Double Cousin
double-cousin66_g3-b1-i1	double-cousin66_g3-b2-i1	1212.630141	33	Double Cousin
double-cousin67_g3-b1-i1	double-cousin67_g3-b2-i1	1349.596837	35	Double Cousin
double-cousin68_g3-b1-i1	double-cousin68_g3-b2-i1	1464.417651	41	Double Cousin
double-cousin69_g3-b1-i1	double-cousin69_g3-b2-i1	1342.835636	37	Double Cousin
double-cousin7_g3-b1-i1	double-cousin7_g3-b2-i1	1130.822961	35	Double Cousin
double-cousin70_g3-b1-i1	double-cousin70_g3-b2-i1	945.34272	30	Double Cousin
double-cousin71_g3-b1-i1	double-cousin71_g3-b2-i1	1238.437297	34	Double Cousin
double-cousin72_g3-b1-i1	double-cousin72_g3-b2-i1	1100.268426	24	Double Cousin
double-cousin73_g3-b1-i1	double-cousin73_g3-b2-i1	1324.759236	31	Double Cousin
double-cousin74_g3-b1-i1	double-cousin74_g3-b2-i1	1496.807543	37	Double Cousin
double-cousin75_g3-b1-i1	double-cousin75_g3-b2-i1	1065.173922	32	Double Cousin
double-cousin76_g3-b1-i1	double-cousin76_g3-b2-i1	1080.506045	30	Double Cousin
double-cousin77_g3-b1-i1	double-cousin77_g3-b2-i1	1212.072236	31	Double Cousin
double-cousin78_g3-b1-i1	double-cousin78_g3-b2-i1	1218.876488	24	Double Cousin
double-cousin79_g3-b1-i1	double-cousin79_g3-b2-i1	1125.461129	29	Double Cousin
double-cousin8_g3-b1-i1	double-cousin8_g3-b2-i1	1165.998645	29	Double Cousin
double-cousin80_g3-b1-i1	double-cousin80_g3-b2-i1	1116.730897	34	Double Cousin
